Wavelength	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
708.75	26.73022600263357	26.29545222967863	24.539635069668293	24.681772649288177	25.869039490818977	21.278831772506237	19.58154185116291	17.967862270772457	22.875789284706116	23.996167853474617	24.932603672146797	26.412506707012653	25.041297115385532	24.681772649288177	23.6784485578537	21.228665567934513	19.573180817067623	17.17356403172016	18.068194679915905	19.982871487736702	19.89090011268854	20.166814237833023	19.255461521446705	20.058120794594288	19.982871487736702	21.847382090985775	21.947714500129223	22.14837931841612	19.732040464878082	19.698596328496933	20.17517527192831	19.68187426030636	19.715318396687508	20.066481828689575	19.807289771735668	16.57993061095476	14.640170700848103	19.43104323744774	20.15009216964245	23.36072926223278	20.400923192501068	20.626671113073826	19.907622180879116	18.686911202967167	13.695373848080635	16.421070963144302	17.95950123667717	15.651855826377869	14.263924166560173
753.75	20.795093551278114	20.12090103700757	18.54029414243996	17.656352845951915	18.165742745622993	13.678617011755705	12.150447312742472	11.543674049898982	15.731158666312695	17.663843873888254	18.92233656719327	20.195811316370964	18.765024980530143	18.55527619831264	17.46158611960709	14.787289146333933	12.734747491776943	11.064248261973262	11.835824139416218	11.708476664498448	12.030590865761042	12.554962821304798	11.993135726079345	12.472561514005065	11.903243390843272	13.2591194473207	13.566251592710614	14.46517494507134	11.491236854344606	11.296470127999783	11.865788251161575	11.700985636562109	11.753422832116485	11.656039468944073	11.513709938153625	11.09421237371862	11.026793122291565	11.978153670206666	12.367687122896314	15.596320163458586	12.023099837824702	12.307758899405599	11.69349460862577	11.44629068672657	10.502421166747808	11.056757234036922	11.363889379426837	10.861990507692099	10.704678921028972
761.25	7.562571853399277	7.3110102117061615	6.768580421805382	6.501296177506447	6.674244806170464	5.164874956011772	4.630306467413902	4.488803043961525	5.856669470667839	6.634938299655914	7.004419460892677	7.318871513009071	6.933667749166489	6.823609530925751	6.446267068386078	5.534356117248535	4.921174615621567	4.528109550476074	4.661751672625542	4.716780781745911	4.913313314318657	4.929035916924477	4.708919480443001	4.960481122136116	4.661751672625542	5.054816737771034	5.109845846891403	5.581523925065994	4.520248249173164	4.543832153081894	4.575277358293533	4.598861262202263	4.598861262202263	4.646029070019722	4.646029070019722	4.252964004874229	4.378744825720787	4.708919480443001	4.787532493472099	6.383376657962799	4.701058179140091	4.76394858956337	4.614583864808083	4.520248249173164	4.1979348957538605	4.402328729629517	4.441635236144066	4.284409210085869	4.3001318126916885
764.375	11.844125349540263	11.512821143958718	10.684560630004853	10.149956116452813	10.451141757890582	7.725411702878773	7.153158984147012	6.7917362144216895	9.035569243133068	10.157485757488757	10.820094168651849	11.648354682605714	10.797505245544016	10.797505245544016	9.991833654697984	8.53861293476075	7.446814984548837	6.505609855055809	7.07786257378757	7.040214368607849	7.168218266218901	7.311281445901841	7.0628032917156816	7.266103599686176	7.0628032917156816	7.7028227797709405	7.996478780172765	8.48590544750914	6.776676932349801	6.678791598882526	6.889621547888964	6.776676932349801	6.769147291313857	7.010095804464072	6.844443701673299	6.513139496091753	6.558317342307419	7.040214368607849	7.251044317614287	9.39699201285839	6.9950365223921835	7.303751804865897	6.874562265817076	6.6562026757746935	6.189364931546152	6.490550572983921	6.716439804062247	6.370076316408813	6.227013136725873
767.5	18.07592871133238	17.91038379073143	16.491427328437567	15.616404176689684	16.073623481206596	11.935000466182828	10.571225644089282	10.019409242086112	13.842708598822355	15.435093073174357	16.617556791752577	17.926149973645806	16.617556791752577	16.35741477366537	15.450859256088734	12.98345162998885	11.154574411921203	9.845981230027974	10.460862363688648	10.334732900373638	10.476628546603024	10.973263308405876	10.61852419283241	10.99691258277744	10.45297927223146	11.603910624980927	11.8877019174397	12.6838941546157	10.106123248115182	10.019409242086112	10.445096180774271	10.248018894344568	10.24013580288738	10.232252711430192	10.137655613943934	9.798682681284845	9.64890394359827	10.547576369717717	10.933847851119936	13.661397495307028	10.70523819886148	10.74465365614742	10.184954162687063	10.090357065200806	9.223217004910111	9.664670126512647	9.838098138570786	9.491242114454508	9.507008297368884
778.75	18.739492911845446	18.195904567837715	16.743951491080225	15.806976845487952	16.3291077548638	12.044773306697607	10.678649968467653	10.099299233406782	14.14044942241162	15.785519410856068	16.915610968135297	18.274581828154624	16.97283079382032	16.72249405644834	15.764061976224184	13.189169820398092	11.322373007424176	9.77743771392852	10.492685534991324	10.378245883621275	10.657192533835769	11.05057883542031	10.700107403099537	11.036273878999054	10.585667751729488	11.772979134693742	12.101993132382631	12.86730830091983	10.235196319408715	10.006317016668618	10.499838013201952	10.256653754040599	10.406855796463788	10.421160752885044	10.270958710461855	9.755980279296637	9.677303018979728	10.549905360676348	10.936139184050262	13.96163746714592	10.743022272363305	10.928986705839634	10.335331014357507	10.149366580881178	9.19808697886765	9.748827801086009	10.020621973089874	9.570015845820308	9.398356368765235
865.0	14.218917289748788	13.861627630423754	12.365855666808784	11.620997563470155	12.10545811848715	8.326665789354593	7.212406512815505	6.830893825739622	10.11311408597976	11.627053320407867	12.602030187379569	13.740512491669506	12.52936110412702	12.45669202087447	11.596774535719305	9.434869308955967	7.793759178835899	6.570496277417988	7.1034028879366815	6.964120478369296	7.121570158749819	7.521250116638839	7.218462269753218	7.484915575012565	6.982287749182433	8.005710671655834	8.278219733852893	9.119969948194921	6.6673883884213865	6.594719305168837	6.9762319922447205	6.806670797988772	6.921730179805309	6.873284124303609	6.697667173109949	6.594719305168837	6.546273249667138	7.1881834850646555	7.4122464917600155	9.973831676412374	7.163960457313806	7.381967707071453	6.891451395116746	6.740057471673936	6.35248902766034	6.631053846795112	6.715834443923086	6.5826077912934124	6.449381138663739
885.0	13.383693621493876	13.07595314597711	11.645865053869784	10.939872198272496	11.446738863829523	7.711614268831909	6.673744429834187	6.311696811579168	9.413238074630499	10.957974579185247	11.857059497851878	13.081987272948027	11.844991243910044	11.724308704491705	10.982111087068915	8.821893631480634	7.28922538086772	6.076365859713405	6.637539668008685	6.438413477968425	6.619437287095934	7.04786030203104	6.703915064688772	7.011655540205538	6.4625499858520925	7.452146809082478	7.675409507006407	8.41157299745828	6.184980145189911	6.04619522485882	6.4625499858520925	6.215150780044496	6.390140462201089	6.281526176724583	6.245321414899081	6.16687776427716	6.130673002451658	6.66771030286327	6.951314270496368	9.37099918583408	6.655642048921436	6.842699985019863	6.34790157340467	6.305662684608251	5.841034907847643	6.130673002451658	6.257389668840915	6.10653649456799	5.985853955149651
900.0	8.948654916603118	8.605115223210305	7.807216580491513	7.2974480031989515	7.652069622185081	5.27499658241868	4.532507567666471	4.31086905580014	6.344402402173728	7.319611854385585	8.01223220396787	8.68822966516018	7.840462357271463	7.906953910831362	7.291907040402293	5.98423982039094	4.859424372669309	4.205590762663633	4.510343716479838	4.377360609360039	4.571294307243079	4.914834000635892	4.565753344446421	4.809555707499385	4.349655795376748	5.047817107755691	5.031194219365716	5.624077238608152	4.15018113469705	4.050443804357201	4.410606386139989	4.2222136510536075	4.27762327902019	4.299787130206823	4.205590762663633	4.089230543933809	4.261000390630215	4.59899912122637	4.676572600379586	6.804302314296365	4.5214256420731544	4.554671418853104	4.410606386139989	4.27762327902019	3.9784112880006433	4.139099209103733	4.216672688256949	4.100312469527125	4.15018113469705
940.0	2.9400376910343766	2.833034586161375	2.6394099202007055	2.455976026132703	2.6292191483080387	1.8751020282506943	1.7426219936460257	1.7120496779680252	2.2368744304403663	2.5018344996497035	2.7158407093957067	2.833034586161375	2.6139329904690385	2.6394099202007055	2.430499096401036	2.1502528693526983	1.7935758531093597	1.6305235028266907	1.7324312217533588	1.783385081216693	1.9107697298750281	2.0177728347480297	1.6865727482363582	1.9413420455530286	1.6865727482363582	1.8496250985190272	1.920960501767695	1.9821051331236959	1.5897604152560234	1.6661912044510245	1.6661912044510245	1.6050465730950236	1.6050465730950236	1.6560004325583577	1.610141959041357	1.6509050466120243	1.8139573968946934	1.8190527828410268	1.859815870411694	3.271237777546048	1.722240449860692	1.671286590397358	1.7120496779680252	1.6203327309340239	1.5744742574170232	1.6305235028266907	1.6610958185046911	1.6254281168803573	1.5897604152560234
